Date,Trading Returns (%)
2017-05-01,0.0
2017-05-02,0.8387016282572342
2017-05-03,-1.0216451756525744
2017-05-04,-0.5645895971048327
2017-05-05,-0.8163885413110269
2017-05-08,-0.013859601019093153
2017-05-09,1.2910177096216076
2017-05-10,-0.03419065238526493
2017-05-11,0.3147831444353174
2017-05-12,0.7959328954302881
2017-05-15,-0.4294126825807357
2017-05-16,-0.21894431597787034
2017-05-17,-0.0
2017-05-18,0.1466181047315403
2017-05-19,0.641604522592191
2017-05-22,0.7750828797924102
2017-05-23,-0.21008452487729276
2017-05-24,0.4266257621166428
2017-05-25,0.9459739928736093
2017-05-26,0.05095024930479862
2017-05-30,-1.4871621119647624
2017-05-31,-0.8308741193704265
2017-06-01,0.7632089813294125
2017-06-02,1.0141067216508979
2017-06-05,0.31846794480280827
2017-06-06,-1.31477828348631
2017-06-07,0.25599704147390434
2017-06-08,0.6003839706284485
2017-06-09,-2.4133125921728835
2017-06-12,-1.3736620232444225
2017-06-13,1.5363075832954043
2017-06-14,-0.32735788051251136
2017-06-15,-1.3111003444352565
2017-06-16,1.3436769014367818
2017-06-19,0.8886595762568246
2017-06-20,-0.5006026735459561
2017-06-21,0.5762543365666117
2017-06-22,-0.22331862667683647
2017-06-23,0.021109576228893
2017-06-26,-0.13523379032964006
2017-06-27,-1.6290176811460702
2017-06-28,0.5877020073356923
2017-06-29,-1.6562505898468083
2017-06-30,-1.3382995750037705
2017-07-03,-0.9551698341507134
2017-07-05,0.34216790950599335
2017-07-06,-0.5131623532506198
2017-07-07,0.35777779764897266
2017-07-10,0.47181523145230125
2017-07-11,0.14950807570681124
2017-07-12,1.2326472004736133
2017-07-13,0.8520271270712532
2017-07-14,0.04741095377904981
2017-07-17,-1.845246979948136
2017-07-18,2.015797856409986
2017-07-19,-6.47991032482691
2017-07-20,-0.47796873027391623
2017-07-21,2.344993998641089
2017-07-24,-0.9432670747760126
2017-07-25,-0.616495414232837
2017-07-26,0.07101551166845962
2017-07-27,-1.2429183492687679
2017-07-28,-0.5204288982804746
2017-07-31,-0.8904163797256984
2017-08-01,-0.2667491692416812
2017-08-02,0.5130796798318904
2017-08-03,-0.8027988558265272
2017-08-04,0.6823404484059177
2017-08-07,1.003001904663862
2017-08-08,-1.0001551658242145
